model_id,model_name,result_status,alignment_policy,positional_join_used,transaction_id_join_verified,behavioral_feature_count,cdv_reconstruction_error_used,validation_average_precision,test_average_precision,validation_delta_vs_p01,validation_delta_vs_corrected_b2,test_delta_vs_p01,selected_threshold,best_iteration,feature_count,metric_source,run_config_source,supersedes,caveat
P01,Baseline LightGBM default,original_reference,chronological_split_transactiondt_only,False,True,0,False,0.6024330226974878,0.48575636611508805,0.0,,0.0,0.7,1062,432,C:\Users\Lenovo\Documents\1_TugasAkhir\ecommerce_fraud_detection\outputs\baseline_lgbm\metrics_validation_selected_threshold.json,C:\Users\Lenovo\Documents\1_TugasAkhir\ecommerce_fraud_detection\outputs\baseline_lgbm\run_config.json,,Primary chronological baseline reference.
CBA01,Causal behavioral LightGBM default (B2),provisional_alignment_risk,legacy_global_resort_positional_slice,True,False,19,False,0.6137378455711773,0.49535037166352414,0.011304822873689502,,0.009594005548436091,0.53,1999,451,C:\Users\Lenovo\Documents\1_TugasAkhir\ecommerce_fraud_detection\outputs\causal_behavioral_lgbm_default\metrics_validation_selected_threshold.json,C:\Users\Lenovo\Documents\1_TugasAkhir\ecommerce_fraud_detection\outputs\causal_behavioral_lgbm_default\run_config.json,,Provisional result superseded by CBA01R due to possible TransactionID misalignment under duplicate TransactionDT values.
CBA01R,Causal behavioral LightGBM ID-aligned (B2 corrected),corrected_authoritative,split_precedence_transactiondt_transactionid_restore,False,True,19,False,0.6151223584166937,0.4938379650483288,0.01268933571920594,,0.00808159893324073,0.55,1933,451,C:\Users\Lenovo\Documents\1_TugasAkhir\ecommerce_fraud_detection\outputs\causal_behavioral_lgbm_id_aligned\metrics_validation_selected_threshold.json,C:\Users\Lenovo\Documents\1_TugasAkhir\ecommerce_fraud_detection\outputs\causal_behavioral_lgbm_id_aligned\run_config.json,CBA01,Corrected identity-safe behavioral feature alignment.
CBA02,Causal behavioral + CDV recon (B3),provisional_alignment_risk,legacy_global_resort_positional_slice,True,False,19,True,0.6006588005447071,0.4846148344150921,-0.001774222152780669,,-0.0011415316999959235,0.69,982,452,C:\Users\Lenovo\Documents\1_TugasAkhir\ecommerce_fraud_detection\outputs\causal_behavioral_cdv_reconstruction_lgbm_default\metrics_validation_selected_threshold.json,C:\Users\Lenovo\Documents\1_TugasAkhir\ecommerce_fraud_detection\outputs\causal_behavioral_cdv_reconstruction_lgbm_default\run_config.json,,Provisional result superseded by CBA02R due to possible behavioral and CDV reconstruction-error misalignment.
CBA02R,Causal behavioral + CDV recon ID-aligned (B3 corrected),corrected_authoritative,split_precedence_transactiondt_transactionid_restore,False,True,19,True,0.6006073826532767,0.4838312377852223,-0.001825640044211041,-0.014514975763416982,-0.001925128329865744,0.78,682,452,C:\Users\Lenovo\Documents\1_TugasAkhir\ecommerce_fraud_detection\outputs\causal_behavioral_cdv_reconstruction_lgbm_id_aligned\metrics_validation_selected_threshold.json,C:\Users\Lenovo\Documents\1_TugasAkhir\ecommerce_fraud_detection\outputs\causal_behavioral_cdv_reconstruction_lgbm_id_aligned\run_config.json,CBA02,Corrected B2 matrix plus one TransactionID-joined CDV error.
